项目名称,项目编码,建设单位,项目主管部门,概算批复金额,资金批复金额,批复日期,资金性质,经办人,经办处室
经济技术开发区博物馆建设四期,UC20250121,交通建设发展集团,市住房和城乡建设局,17087.64,4489.57,2023-11-09,省级补助,李明强,工程建设处
生态城区博物馆建设四期,UC20250053,基础设施建设公司,市城市管理局,6660.62,595.06,2024-03-30,土地出让金,郭建华,审计监察处
科技园区商业综合体建设二期,UC20250150,环保建设投资公司,市水利局,11194.94,5014.22,2023-07-19,省级补助,周建军,工程建设处
经济技术开发区道路建设工程四期,UC20250129,教育建设投资公司,市文化和旅游局,2750.84,782.58,2024-02-16,省级补助,孙海涛,工程建设处
中心区体育中心建设五期,UC20250180,园林绿化建设集团,市教育局,7232.0,1348.77,2023-10-26,中央综合财力,郭建华,审计监察处
滨海新区商业综合体建设三期,UC20250140,住房建设集团,市生态环境局,15413.4,5645.84,2023-09-24,专项债券,杨文华,计划财务处
山区停车场建设一期,UC20250090,城市投资建设集团,市城市管理局,2258.13,456.05,2024-10-25,省级补助,黄志明,招投标管理处
生态城区桥梁建设工程二期,UC20250095,医疗建设发展公司,市教育局,6305.58,1862.48,2024-05-15,中央综合财力,林志强,审计监察处
南城区学校建设工程五期,UC20250057,教育建设投资公司,市卫生健康委员会,12854.33,2973.15,2023-12-23,中央补助,徐文军,综合管理处
高新区桥梁建设工程四期,UC20250161,住房建设集团,市卫生健康委员会,3537.44,459.68,2024-09-17,中央综合财力,王志远,计划财务处
开发区商业综合体建设二期,UC20250061,医疗建设发展公司,市体育局,11827.18,3098.41,2024-06-19,中央预算内投资,曹建军,计划财务处
山区污水处理厂建设四期,UC20250054,基础设施建设公司,市教育局,3819.6,620.52,2023-05-28,中央综合财力,徐文军,项目管理处
山区停车场建设二期,UC20250093,教育建设投资公司,市城市管理局,9672.8,490.46,2023-05-04,中央预算内投资,王志远,审计监察处
新区桥梁建设工程三期,UC20250138,教育建设投资公司,市城市管理局,16224.31,3441.24,2023-04-22,中央补助,王志远,审计监察处
高新区排水管网工程四期,UC20250025,市政建设集团有限公司,市城市管理局,17683.31,3875.77,2023-12-22,中央补助,刘建国,投资建设处
西城区垃圾处理中心建设四期,UC20250132,园林绿化建设集团,市卫生健康委员会,1685.52,611.87,2023-05-24,中央补助,高建国,资金管理处
南城区学校建设工程五期,UC20250057,教育建设投资公司,市卫生健康委员会,12854.33,1711.51,2023-11-03,省级补助,吴德华,投资建设处
工业园区体育中心建设四期,UC20250018,文化建设集团,市生态环境局,9233.4,3309.67,2023-10-29,土地出让金,何志远,项目管理处
山区博物馆建设三期,UC20250082,医疗建设发展公司,市水利局,9010.59,547.05,2023-12-25,专项债券,王志远,资金管理处
滨海新区地铁建设工程二期,UC20250196,文化建设集团,市教育局,8949.93,3443.32,2024-01-12,一般债券,钱国强,招投标管理处
山区污水处理厂建设四期,UC20250054,基础设施建设公司,市教育局,3819.6,557.78,2024-02-16,中央预算内投资,邓文华,规划设计处
南城区商业综合体建设三期,UC20250036,水务建设集团公司,市园林绿化局,15515.9,1366.78,2023-12-23,省级补助,张建华,投资建设处
南城区公交站台建设四期,UC20250046,环保建设投资公司,市文化和旅游局,5870.42,339.89,2024-08-09,省级补助,钱国强,资金管理处
北城区供水管网工程五期,UC20250141,公共设施建设集团,市城市管理局,1740.98,138.59,2023-03-06,中央预算内投资,彭志明,规划设计处
开发区供水管网工程三期,UC20250162,交通建设发展集团,市卫生健康委员会,1008.09,410.19,2024-01-02,一般债券,陈志刚,计划财务处
生态城区桥梁建设工程二期,UC20250095,医疗建设发展公司,市教育局,6305.58,1359.66,2023-10-20,中央补助,彭志明,综合管理处
高新区住宅小区建设一期,UC20250124,医疗建设发展公司,市体育局,7647.73,1777.35,2023-09-10,中央预算内投资,曹建军,规划设计处
新区公园绿化工程一期,UC20250153,基础设施建设公司,市交通运输局,6219.38,758.72,2024-08-23,省级补助,周建军,质量安全处
高新区隧道建设工程三期,UC20250135,教育建设投资公司,市城市管理局,7656.32,1730.22,2023-08-04,中央预算内投资,林志强,资金管理处
生态城区医院建设工程一期,UC20250012,公共设施建设集团,市体育局,12670.16,4102.0,2024-03-29,省级补助,张建华,计划财务处
北城区博物馆建设一期,UC20250041,市政建设集团有限公司,市教育局,5614.14,2349.93,2023-06-27,土地出让金,刘建国,规划设计处
科技园区商业综合体建设五期,UC20250197,园林绿化建设集团,市规划和自然资源局,6405.51,449.17,2024-01-18,专项债券,邓文华,项目管理处
开发区公园绿化工程三期,UC20250107,市政建设集团有限公司,市发展和改革委员会,7231.64,2299.8,2023-07-31,土地出让金,高建国,投资建设处
高新区道路建设工程一期,UC20250044,水务建设集团公司,市交通运输局,4605.77,1198.63,2023-11-14,一般债券,孙海涛,资金管理处
科技园区隧道建设工程三期,UC20250038,园林绿化建设集团,市生态环境局,18476.73,6664.41,2024-06-25,中央补助,钱国强,资金管理处
山区住宅小区建设一期,UC20250010,公共设施建设集团,市教育局,15899.97,3059.61,2023-11-25,中央预算内投资,王志远,项目管理处
滨海新区图书馆建设三期,UC20250159,基础设施建设公司,市生态环境局,15176.03,3547.28,2023-09-08,省级补助,周建军,计划财务处
西城区垃圾处理中心建设四期,UC20250132,园林绿化建设集团,市卫生健康委员会,1685.52,127.63,2023-10-01,省级补助,徐文军,综合管理处
开发区排水管网工程三期,UC20250059,园林绿化建设集团,市规划和自然资源局,10416.65,2779.05,2024-03-13,中央补助,张建华,审计监察处
经济技术开发区停车场建设四期,UC20250081,公共设施建设集团,市城市管理局,11579.71,2451.98,2024-07-22,中央补助,吴德华,投资建设处
经济技术开发区道路建设工程四期,UC20250129,教育建设投资公司,市文化和旅游局,2750.84,449.99,2023-12-03,专项债券,彭志明,质量安全处
山区公园绿化工程五期,UC20250077,园林绿化建设集团,市交通运输局,9711.83,561.88,2023-06-21,省级补助,李明强,规划设计处
山区公园绿化工程五期,UC20250077,园林绿化建设集团,市交通运输局,9711.83,3582.94,2023-09-17,中央补助,曹建军,审计监察处
新区桥梁建设工程三期,UC20250138,教育建设投资公司,市城市管理局,16224.31,2724.93,2023-11-06,中央补助,韩志刚,审计监察处
开发区学校建设工程一期,UC20250137,园林绿化建设集团,市文化和旅游局,14850.1,3911.4,2024-02-22,中央补助,刘建国,质量安全处
高新区住宅小区建设三期,UC20250146,城市投资建设集团,市生态环境局,3426.51,438.41,2024-10-29,中央预算内投资,黄志明,质量安全处
高新区停车场建设三期,UC20250026,环保建设投资公司,市城市管理局,19806.41,8988.03,2025-03-20,中央预算内投资,张建华,资金管理处
滨海新区图书馆建设三期,UC20250159,基础设施建设公司,市生态环境局,15176.03,2991.01,2023-09-28,土地出让金,杨文华,工程建设处
经济技术开发区停车场建设三期,UC20250185,市政建设集团有限公司,市生态环境局,9251.02,4087.73,2024-04-29,中央补助,韩志刚,项目管理处
科技园区地铁建设工程四期,UC20250078,公共设施建设集团,市城市管理局,13320.36,3185.26,2023-10-17,一般债券,刘建国,质量安全处
东城区排水管网工程三期,UC20250020,水务建设集团公司,市发展和改革委员会,6587.12,550.21,2023-12-18,中央综合财力,邓文华,资金管理处
东城区隧道建设工程二期,UC20250190,教育建设投资公司,市教育局,15294.75,2249.75,2024-06-12,一般债券,徐文军,审计监察处
新区排水管网工程四期,UC20250168,医疗建设发展公司,市发展和改革委员会,4403.09,1604.71,2024-02-17,中央综合财力,梁文博,综合管理处
南城区停车场建设一期,UC20250147,基础设施建设公司,市规划和自然资源局,12450.51,6103.21,2023-10-29,省级补助,梁文博,招投标管理处
生态城区公交站台建设五期,UC20250016,教育建设投资公司,市住房和城乡建设局,5193.74,2366.39,2024-11-20,省级补助,吴德华,招投标管理处
新区商业综合体建设二期,UC20250128,水务建设集团公司,市规划和自然资源局,18647.72,6935.39,2024-01-03,中央预算内投资,邓文华,资金管理处
新区广场建设工程五期,UC20250094,住房建设集团,市规划和自然资源局,9339.82,1227.62,2024-10-07,中央综合财力,朱建平,资金管理处
南城区学校建设工程一期,UC20250111,交通建设发展集团,市规划和自然资源局,14688.91,2139.97,2024-04-09,省级补助,彭志明,资金管理处
北城区住宅小区建设四期,UC20250073,公共设施建设集团,市规划和自然资源局,15447.51,871.81,2023-10-26,土地出让金,高建国,综合管理处
经济技术开发区停车场建设一期,UC20250172,基础设施建设公司,市住房和城乡建设局,10388.38,4594.74,2024-08-22,专项债券,郭建华,投资建设处
科技园区住宅小区建设三期,UC20250047,水务建设集团公司,市教育局,10085.51,969.24,2024-10-17,专项债券,钱国强,资金管理处
西城区桥梁建设工程一期,UC20250154,文化建设集团,市文化和旅游局,9844.53,830.65,2024-01-09,省级补助,林志强,投资建设处
滨海新区图书馆建设三期,UC20250159,基础设施建设公司,市生态环境局,15176.03,3951.76,2023-10-03,省级补助,赵文博,资金管理处
科技园区地铁建设工程四期,UC20250078,公共设施建设集团,市城市管理局,13320.36,1760.31,2024-01-19,省级补助,林志强,工程建设处
经济技术开发区商业综合体建设一期,UC20250055,水务建设集团公司,市体育局,11577.32,3347.68,2024-06-03,中央补助,陈志刚,招投标管理处
山区公园绿化工程五期,UC20250077,园林绿化建设集团,市交通运输局,9711.83,2056.76,2023-11-22,中央综合财力,孙海涛,招投标管理处
生态城区学校建设工程三期,UC20250134,文化建设集团,市文化和旅游局,17959.8,6882.31,2025-02-07,中央预算内投资,马建设,计划财务处
生态城区桥梁建设工程二期,UC20250095,医疗建设发展公司,市教育局,6305.58,2913.64,2023-12-05,中央补助,孙海涛,计划财务处
科技园区桥梁建设工程一期,UC20250072,公共设施建设集团,市生态环境局,3031.25,816.08,2023-04-12,省级补助,杨文华,项目管理处
滨海新区隧道建设工程一期,UC20250021,基础设施建设公司,市规划和自然资源局,1493.28,267.43,2024-06-30,省级补助,陈志刚,工程建设处
科技园区地铁建设工程四期,UC20250078,公共设施建设集团,市城市管理局,13320.36,4923.79,2024-05-12,中央补助,何志远,招投标管理处
东城区供水管网工程五期,UC20250131,市政建设集团有限公司,市交通运输局,1223.31,513.9,2023-07-17,中央综合财力,韩志刚,审计监察处
经济技术开发区博物馆建设四期,UC20250121,交通建设发展集团,市住房和城乡建设局,17087.64,6433.11,2023-02-05,中央补助,陈志刚,规划设计处
经济技术开发区道路建设工程四期,UC20250129,教育建设投资公司,市文化和旅游局,2750.84,503.56,2023-12-27,专项债券,黄志明,审计监察处
山区排水管网工程五期,UC20250069,园林绿化建设集团,市卫生健康委员会,15997.2,2830.22,2025-03-15,省级补助,梁文博,审计监察处
经济技术开发区排水管网工程五期,UC20250117,公共设施建设集团,市城市管理局,1330.59,611.43,2024-05-30,省级补助,林志强,计划财务处
生态城区学校建设工程一期,UC20250089,水务建设集团公司,市卫生健康委员会,17662.58,5735.73,2024-03-09,土地出让金,何志远,综合管理处
经济技术开发区商业综合体建设一期,UC20250055,水务建设集团公司,市体育局,11577.32,4501.36,2024-12-31,专项债券,彭志明,招投标管理处
经济技术开发区停车场建设四期,UC20250081,公共设施建设集团,市城市管理局,11579.71,2939.24,2023-12-28,土地出让金,周建军,综合管理处
东城区商业综合体建设三期,UC20250050,环保建设投资公司,市卫生健康委员会,16191.13,7190.37,2023-09-15,土地出让金,郭建华,审计监察处
工业园区道路建设工程一期,UC20250164,文化建设集团,市园林绿化局,15239.68,6268.16,2024-01-02,中央综合财力,梁文博,投资建设处
高新区道路建设工程一期,UC20250044,水务建设集团公司,市交通运输局,4605.77,1380.34,2023-02-15,中央综合财力,梁文博,资金管理处
科技园区供水管网工程一期,UC20250170,交通建设发展集团,市生态环境局,13000.65,5891.59,2024-01-07,中央补助,马建设,投资建设处
生态城区医院建设工程一期,UC20250012,公共设施建设集团,市体育局,12670.16,5676.94,2024-08-27,中央预算内投资,曹建军,计划财务处
新区医院建设工程三期,UC20250023,医疗建设发展公司,市体育局,14833.68,6417.15,2023-09-11,中央预算内投资,李明强,综合管理处
生态城区学校建设工程一期,UC20250127,园林绿化建设集团,市教育局,5903.98,1872.65,2023-08-14,中央补助,刘建国,质量安全处
科技园区体育中心建设五期,UC20250165,文化建设集团,市卫生健康委员会,13601.03,5629.32,2024-09-10,专项债券,邓文华,招投标管理处
科技园区商业综合体建设四期,UC20250067,基础设施建设公司,市交通运输局,3362.63,232.29,2024-04-07,一般债券,黄志明,质量安全处
经济技术开发区隧道建设工程二期,UC20250014,园林绿化建设集团,市住房和城乡建设局,17729.54,1537.43,2024-01-04,中央综合财力,高建国,规划设计处
中心区污水处理厂建设五期,UC20250063,教育建设投资公司,市城市管理局,10237.66,3863.67,2023-08-10,省级补助,彭志明,项目管理处
东城区供水管网工程五期,UC20250131,市政建设集团有限公司,市交通运输局,1223.31,312.79,2023-12-03,中央补助,马建设,综合管理处
新区排水管网工程四期,UC20250168,医疗建设发展公司,市发展和改革委员会,4403.09,1473.41,2024-11-28,中央补助,何志远,招投标管理处
新区排水管网工程四期,UC20250168,医疗建设发展公司,市发展和改革委员会,4403.09,1979.71,2024-07-23,中央综合财力,钱国强,综合管理处
北城区排水管网工程五期,UC20250151,交通建设发展集团,市体育局,6752.8,2803.49,2024-04-14,中央补助,杨文华,资金管理处
西城区广场建设工程二期,UC20250116,教育建设投资公司,市交通运输局,10935.63,3723.77,2023-09-08,一般债券,何志远,招投标管理处
工业园区医院建设工程三期,UC20250103,城市投资建设集团,市发展和改革委员会,18777.54,5130.22,2024-12-02,土地出让金,朱建平,项目管理处
东城区商业综合体建设三期,UC20250050,环保建设投资公司,市卫生健康委员会,16191.13,1576.69,2023-06-26,土地出让金,徐文军,规划设计处
高新区住宅小区建设一期,UC20250124,医疗建设发展公司,市体育局,7647.73,2826.04,2023-04-22,专项债券,彭志明,招投标管理处
西城区图书馆建设二期,UC20250070,公共设施建设集团,市发展和改革委员会,4527.63,467.97,2023-06-24,中央补助,李明强,投资建设处
东城区道路建设工程二期,UC20250174,公共设施建设集团,市文化和旅游局,5313.94,1930.88,2024-04-23,一般债券,陈志刚,工程建设处
北城区污水处理厂建设五期,UC20250087,医疗建设发展公司,市发展和改革委员会,2611.61,557.5,2025-02-16,中央补助,陈志刚,工程建设处
东城区隧道建设工程五期,UC20250006,基础设施建设公司,市交通运输局,12966.97,2822.61,2025-01-07,土地出让金,赵文博,综合管理处
高新区供水管网工程五期,UC20250171,基础设施建设公司,市规划和自然资源局,12604.46,5522.38,2023-05-15,中央综合财力,刘建国,审计监察处
生态城区学校建设工程一期,UC20250089,水务建设集团公司,市卫生健康委员会,17662.58,3535.09,2024-11-28,土地出让金,高建国,质量安全处
生态城区停车场建设五期,UC20250130,园林绿化建设集团,市教育局,15361.45,3772.38,2024-04-11,中央综合财力,吴德华,质量安全处
开发区公园绿化工程五期,UC20250039,住房建设集团,市规划和自然资源局,11375.17,2305.86,2024-04-11,中央预算内投资,曹建军,综合管理处
开发区地铁建设工程二期,UC20250031,交通建设发展集团,市规划和自然资源局,16679.2,2136.79,2024-01-11,一般债券,孙海涛,投资建设处
新区排水管网工程四期,UC20250168,医疗建设发展公司,市发展和改革委员会,4403.09,1530.17,2025-01-02,土地出让金,韩志刚,资金管理处
新区医院建设工程四期,UC20250184,教育建设投资公司,市园林绿化局,17649.2,1839.73,2023-09-16,中央综合财力,钱国强,规划设计处
生态城区医院建设工程一期,UC20250012,公共设施建设集团,市体育局,12670.16,4774.11,2024-07-22,一般债券,郭建华,质量安全处
经济技术开发区排水管网工程五期,UC20250117,公共设施建设集团,市城市管理局,1330.59,205.73,2024-06-30,省级补助,林志强,综合管理处
科技园区商业综合体建设四期,UC20250067,基础设施建设公司,市交通运输局,3362.63,1372.02,2024-06-01,一般债券,钱国强,资金管理处
滨海新区文化中心建设五期,UC20250133,公共设施建设集团,市交通运输局,10244.62,1866.64,2023-08-14,土地出让金,钱国强,工程建设处
开发区住宅小区建设一期,UC20250074,园林绿化建设集团,市园林绿化局,6621.25,1513.23,2024-12-07,中央预算内投资,周建军,项目管理处
东城区排水管网工程三期,UC20250179,文化建设集团,市交通运输局,18545.15,8687.12,2023-10-25,专项债券,彭志明,投资建设处
生态城区桥梁建设工程二期,UC20250095,医疗建设发展公司,市教育局,6305.58,602.77,2024-03-16,专项债券,梁文博,招投标管理处
经济技术开发区博物馆建设二期,UC20250194,文化建设集团,市体育局,10431.5,3723.0,2023-11-08,省级补助,张建华,工程建设处
新区排水管网工程四期,UC20250168,医疗建设发展公司,市发展和改革委员会,4403.09,1490.22,2024-04-15,中央补助,钱国强,投资建设处
新区博物馆建设三期,UC20250017,市政建设集团有限公司,市体育局,14150.93,5358.93,2024-09-04,中央综合财力,曹建军,计划财务处
科技园区博物馆建设五期,UC20250114,基础设施建设公司,市生态环境局,15727.74,4420.46,2024-07-29,省级补助,彭志明,项目管理处
生态城区学校建设工程三期,UC20250134,文化建设集团,市文化和旅游局,17959.8,7951.86,2025-03-15,土地出让金,韩志刚,资金管理处
中心区体育中心建设五期,UC20250180,园林绿化建设集团,市教育局,7232.0,1078.92,2024-01-28,土地出让金,周建军,质量安全处
北城区供水管网工程五期,UC20250141,公共设施建设集团,市城市管理局,1740.98,200.88,2023-12-02,专项债券,彭志明,招投标管理处
新区商业综合体建设三期,UC20250068,教育建设投资公司,市教育局,15761.66,7031.79,2023-07-11,专项债券,徐文军,审计监察处
东城区隧道建设工程二期,UC20250190,教育建设投资公司,市教育局,15294.75,1592.1,2024-07-26,一般债券,朱建平,质量安全处
东城区供水管网工程五期,UC20250131,市政建设集团有限公司,市交通运输局,1223.31,62.35,2023-06-29,一般债券,彭志明,计划财务处
工业园区地铁建设工程四期,UC20250058,交通建设发展集团,市文化和旅游局,9412.2,2224.08,2024-08-27,中央预算内投资,钱国强,计划财务处
工业园区供水管网工程四期,UC20250178,水务建设集团公司,市体育局,8559.13,2741.93,2023-02-18,一般债券,徐文军,综合管理处
经济技术开发区广场建设工程二期,UC20250076,住房建设集团,市体育局,19718.38,3904.37,2024-02-16,中央补助,陈志刚,资金管理处
科技园区住宅小区建设三期,UC20250047,水务建设集团公司,市教育局,10085.51,4601.6,2024-12-02,一般债券,彭志明,综合管理处
科技园区隧道建设工程三期,UC20250038,园林绿化建设集团,市生态环境局,18476.73,5666.94,2025-01-23,省级补助,周建军,资金管理处
生态城区住宅小区建设二期,UC20250188,文化建设集团,市体育局,18733.19,8002.75,2023-09-24,一般债券,周建军,审计监察处
南城区停车场建设一期,UC20250147,基础设施建设公司,市规划和自然资源局,12450.51,5593.5,2024-06-08,中央预算内投资,吴德华,计划财务处
科技园区地铁建设工程四期,UC20250078,公共设施建设集团,市城市管理局,13320.36,4142.89,2023-11-19,中央综合财力,钱国强,审计监察处
高新区隧道建设工程三期,UC20250135,教育建设投资公司,市城市管理局,7656.32,991.09,2023-12-14,土地出让金,彭志明,规划设计处
高新区隧道建设工程三期,UC20250135,教育建设投资公司,市城市管理局,7656.32,2269.81,2023-08-01,中央综合财力,钱国强,计划财务处
南城区供水管网工程四期,UC20250027,城市投资建设集团,市规划和自然资源局,15862.12,7255.39,2024-08-10,省级补助,邓文华,招投标管理处
东城区供水管网工程五期,UC20250071,住房建设集团,市交通运输局,2449.48,472.45,2023-12-20,土地出让金,赵文博,资金管理处
生态城区学校建设工程三期,UC20250009,园林绿化建设集团,市规划和自然资源局,12468.79,3011.17,2024-10-26,省级补助,林志强,计划财务处
南城区医院建设工程五期,UC20250001,文化建设集团,市城市管理局,13153.33,1795.09,2024-01-04,专项债券,杨文华,计划财务处
科技园区商业综合体建设四期,UC20250067,基础设施建设公司,市交通运输局,3362.63,1121.84,2025-02-28,中央预算内投资,高建国,资金管理处
科技园区公园绿化工程一期,UC20250148,文化建设集团,市生态环境局,4114.42,361.0,2024-03-18,土地出让金,张建华,项目管理处
滨海新区隧道建设工程一期,UC20250021,基础设施建设公司,市规划和自然资源局,1493.28,685.45,2024-12-20,土地出让金,王志远,投资建设处
新区供水管网工程四期,UC20250191,住房建设集团,市文化和旅游局,15400.22,3942.29,2024-07-01,一般债券,梁文博,质量安全处
开发区图书馆建设一期,UC20250003,住房建设集团,市园林绿化局,6228.91,774.92,2023-08-20,专项债券,杨文华,质量安全处
东城区排水管网工程三期,UC20250020,水务建设集团公司,市发展和改革委员会,6587.12,1758.2,2023-05-15,中央综合财力,钱国强,计划财务处
东城区学校建设工程四期,UC20250088,水务建设集团公司,市规划和自然资源局,9824.61,3853.49,2023-11-06,中央预算内投资,徐文军,计划财务处
新区商业综合体建设二期,UC20250181,交通建设发展集团,市规划和自然资源局,5276.28,1121.93,2024-05-08,中央综合财力,朱建平,资金管理处
滨海新区排水管网工程一期,UC20250139,城市投资建设集团,市文化和旅游局,1824.32,586.96,2024-09-25,中央预算内投资,孙海涛,规划设计处
滨海新区污水处理厂建设五期,UC20250086,文化建设集团,市卫生健康委员会,12672.36,5580.99,2024-06-06,省级补助,周建军,投资建设处
西城区图书馆建设二期,UC20250102,环保建设投资公司,市规划和自然资源局,4169.97,1990.03,2024-05-09,一般债券,徐文军,规划设计处
新区桥梁建设工程三期,UC20250138,教育建设投资公司,市城市管理局,16224.31,4836.53,2023-12-07,一般债券,徐文军,投资建设处
经济技术开发区体育中心建设二期,UC20250169,医疗建设发展公司,市体育局,8178.7,2750.71,2023-12-24,专项债券,郭建华,项目管理处
工业园区公园绿化工程五期,UC20250106,基础设施建设公司,市发展和改革委员会,14618.25,5942.01,2023-12-18,专项债券,梁文博,计划财务处
经济技术开发区停车场建设三期,UC20250185,市政建设集团有限公司,市生态环境局,9251.02,1967.39,2025-01-13,一般债券,王志远,项目管理处
南城区供水管网工程四期,UC20250027,城市投资建设集团,市规划和自然资源局,15862.12,7906.72,2024-06-24,中央补助,梁文博,资金管理处
南城区停车场建设二期,UC20250101,教育建设投资公司,市规划和自然资源局,6826.43,419.39,2024-10-13,专项债券,吴德华,综合管理处
高新区垃圾处理中心建设二期,UC20250097,公共设施建设集团,市交通运输局,15839.46,1080.47,2024-05-02,中央预算内投资,李明强,规划设计处
新区供水管网工程四期,UC20250191,住房建设集团,市文化和旅游局,15400.22,960.03,2025-01-02,中央补助,钱国强,投资建设处
南城区停车场建设二期,UC20250101,教育建设投资公司,市规划和自然资源局,6826.43,1441.77,2024-12-07,土地出让金,周建军,项目管理处
开发区排水管网工程五期,UC20250115,住房建设集团,市生态环境局,4923.67,2057.28,2023-12-29,专项债券,赵文博,计划财务处
新区图书馆建设三期,UC20250030,文化建设集团,市住房和城乡建设局,2777.61,578.15,2025-01-12,专项债券,朱建平,计划财务处
开发区商业综合体建设三期,UC20250200,市政建设集团有限公司,市规划和自然资源局,13011.48,2404.12,2024-09-02,中央补助,钱国强,招投标管理处
科技园区博物馆建设五期,UC20250114,基础设施建设公司,市生态环境局,15727.74,3054.92,2024-06-09,一般债券,邓文华,项目管理处
滨海新区医院建设工程五期,UC20250011,基础设施建设公司,市发展和改革委员会,15502.96,5463.45,2025-01-27,一般债券,刘建国,综合管理处
东城区商业综合体建设三期,UC20250050,环保建设投资公司,市卫生健康委员会,16191.13,5231.4,2024-01-22,中央预算内投资,王志远,审计监察处
开发区公园绿化工程三期,UC20250107,市政建设集团有限公司,市发展和改革委员会,7231.64,579.57,2024-03-23,土地出让金,林志强,投资建设处
高新区停车场建设三期,UC20250026,环保建设投资公司,市城市管理局,19806.41,6730.4,2025-05-17,专项债券,林志强,招投标管理处
北城区文化中心建设一期,UC20250175,医疗建设发展公司,市教育局,13900.46,6664.66,2024-02-25,一般债券,徐文军,质量安全处
东城区文化中心建设三期,UC20250163,园林绿化建设集团,市水利局,18260.6,2069.33,2023-08-05,中央预算内投资,李明强,质量安全处
新区广场建设工程二期,UC20250186,园林绿化建设集团,市卫生健康委员会,11009.55,4232.51,2023-09-16,省级补助,黄志明,计划财务处
生态城区学校建设工程一期,UC20250089,水务建设集团公司,市卫生健康委员会,17662.58,2263.72,2024-03-18,土地出让金,李明强,计划财务处
新区排水管网工程五期,UC20250136,基础设施建设公司,市规划和自然资源局,2318.74,1144.63,2024-05-23,一般债券,黄志明,项目管理处
工业园区文化中心建设五期,UC20250062,市政建设集团有限公司,市卫生健康委员会,4909.01,1823.89,2023-08-10,中央综合财力,邓文华,审计监察处
生态城区广场建设工程三期,UC20250193,园林绿化建设集团,市园林绿化局,5187.63,1491.75,2023-07-21,土地出让金,周建军,资金管理处
新区供水管网工程四期,UC20250191,住房建设集团,市文化和旅游局,15400.22,5319.07,2024-08-29,省级补助,赵文博,投资建设处
北城区住宅小区建设四期,UC20250073,公共设施建设集团,市规划和自然资源局,15447.51,3975.85,2024-03-26,专项债券,钱国强,资金管理处
高新区住宅小区建设四期,UC20250177,住房建设集团,市规划和自然资源局,6523.64,383.82,2023-09-08,中央综合财力,彭志明,投资建设处
新区文化中心建设三期,UC20250099,教育建设投资公司,市生态环境局,10879.91,4730.62,2023-04-27,省级补助,杨文华,工程建设处
东城区广场建设工程二期,UC20250013,水务建设集团公司,市文化和旅游局,7687.92,1119.83,2024-08-10,土地出让金,钱国强,工程建设处
南城区停车场建设一期,UC20250147,基础设施建设公司,市规划和自然资源局,12450.51,1135.73,2024-05-06,土地出让金,林志强,项目管理处
科技园区垃圾处理中心建设一期,UC20250110,水务建设集团公司,市水利局,7279.23,1361.4,2024-01-18,土地出让金,韩志刚,质量安全处
开发区图书馆建设三期,UC20250125,教育建设投资公司,市园林绿化局,2870.19,287.66,2023-08-16,一般债券,李明强,审计监察处
工业园区文化中心建设一期,UC20250096,园林绿化建设集团,市规划和自然资源局,19627.56,2600.59,2024-02-08,中央补助,周建军,招投标管理处
经济技术开发区医院建设工程五期,UC20250142,园林绿化建设集团,市住房和城乡建设局,2574.42,669.01,2023-12-25,中央预算内投资,刘建国,招投标管理处
开发区地铁建设工程二期,UC20250031,交通建设发展集团,市规划和自然资源局,16679.2,2394.65,2024-09-29,省级补助,彭志明,投资建设处
经济技术开发区桥梁建设工程四期,UC20250024,交通建设发展集团,市体育局,19706.26,7936.92,2024-05-26,专项债券,徐文军,投资建设处
科技园区桥梁建设工程一期,UC20250032,交通建设发展集团,市体育局,1904.37,356.13,2023-09-07,土地出让金,韩志刚,招投标管理处
东城区供水管网工程五期,UC20250131,市政建设集团有限公司,市交通运输局,1223.31,167.28,2024-01-25,土地出让金,孙海涛,审计监察处
开发区公交站台建设五期,UC20250123,医疗建设发展公司,市水利局,12350.63,3227.97,2024-12-05,中央综合财力,朱建平,质量安全处
东城区垃圾处理中心建设二期,UC20250176,公共设施建设集团,市生态环境局,16258.53,4273.42,2024-08-19,一般债券,梁文博,招投标管理处
高新区商业综合体建设一期,UC20250195,教育建设投资公司,市发展和改革委员会,7066.19,2307.17,2024-12-15,中央预算内投资,吴德华,质量安全处
科技园区住宅小区建设三期,UC20250047,水务建设集团公司,市教育局,10085.51,4338.82,2024-12-03,中央补助,徐文军,计划财务处
生态城区公交站台建设五期,UC20250016,教育建设投资公司,市住房和城乡建设局,5193.74,526.53,2025-02-21,中央综合财力,张建华,项目管理处
经济技术开发区桥梁建设工程四期,UC20250024,交通建设发展集团,市体育局,19706.26,9052.65,2025-02-20,中央预算内投资,徐文军,质量安全处
开发区图书馆建设一期,UC20250003,住房建设集团,市园林绿化局,6228.91,2812.78,2023-10-31,土地出让金,杨文华,规划设计处
东城区垃圾处理中心建设二期,UC20250176,公共设施建设集团,市生态环境局,16258.53,5549.36,2025-02-24,中央补助,周建军,质量安全处
生态城区学校建设工程三期,UC20250134,文化建设集团,市文化和旅游局,17959.8,4206.2,2024-11-05,一般债券,黄志明,资金管理处
山区桥梁建设工程二期,UC20250043,城市投资建设集团,市卫生健康委员会,3687.82,1485.94,2024-06-19,土地出让金,周建军,投资建设处
经济技术开发区博物馆建设二期,UC20250194,文化建设集团,市体育局,10431.5,3085.94,2023-04-29,中央预算内投资,彭志明,审计监察处
